Designator,Mid X,Mid Y,Rotation,Layer
SW39_2,336.179998,-198.970002,0.0,top
SW39,210.35,-199.5,0.0,top
SW4_2,393.329998,-113.245002,0.0,top
SW4,153.2,-113.775,0.0,top
SW40_2,317.129998,-201.351252,0.0,top
SW40,229.4,-201.88125,0.0,top
SW41_2,464.767498,-220.401252,0.0,top
SW41,81.7625,-220.93125,0.0,top
SW42_2,436.192498,-220.401252,0.0,top
SW42,110.3375,-220.93125,0.0,top
SW43_2,412.379998,-218.020002,0.0,top
SW43,134.15,-218.55,0.0,top
SW44_2,393.329998,-215.638752,0.0,top
SW44,153.2,-216.16875,0.0,top
SW45_2,374.279998,-213.257502,0.0,top
SW45,172.25,-213.7875,0.0,top
SW46_2,350.629998,-222.645002,285.0,top
SW46,195.9,-223.175,255.0,top
SW47_2,332.129998,-227.645002,285.0,top
SW47,214.4,-228.175,255.0,top
SW48_2,313.204998,-231.145002,285.0,top
SW48,232.956186,-233.248223,255.0,top
SW49_2,275.754998,-144.495002,90.0,top
SW49,270.6,-144.275,270.0,top
SW5_2,374.279998,-113.245002,0.0,top
SW5,172.25,-113.775,0.0,top
SW6_2,355.229998,-113.245002,0.0,top
SW6,191.3,-113.775,0.0,top
SW7_2,336.179998,-113.245002,0.0,top
SW7,210.35,-113.775,0.0,top
SW8_2,317.129998,-113.245002,0.0,top
SW8,229.4,-113.775,0.0,top
SW9_2,450.479998,-144.201252,0.0,top
SW9,96.05,-144.73125,0.0,top
U1_2,305.904998,-127.482502,90.0,top
U1,242.25,-138.175,90.0,top
U2_2,291.904998,-139.945002,270.0,top
U2,255.15,-140.775,90.0,top
U3_2,295.404998,-112.145002,0.0,bottom
U3,250.437503,-114.712499,0.0,top
U4_2,326.954998,-118.445002,90.0,top
U4,221.9,-116.675,0.0,top
USBI_C1_2,288.054998,-135.195002,270.0,bottom
USBI_C1,268.199994,-137.512506,270.0,top
USBR1_2,277.154998,-132.345002,0.0,bottom
USBR1,265.349995,-132.112505,0.0,top
USBR2_2,277.254998,-135.780005,0.0,bottom
USBR2,265.349999,-135.612504,0.0,top
USB_C1_2,276.799998,-112.842501,90.0,top
USB_C1,269.4,-112.675,90.0,top
